_index,_id,_version,_score,_source.agent.name,_source.agent.id,_source.manager.name,_source.rule.firedtimes,_source.rule.mail,_source.rule.level,_source.rule.pci_dss,_source.rule.hipaa,_source.rule.tsc,_source.rule.description,_source.rule.groups,_source.rule.id,_source.rule.nist_800_53,_source.rule.gpg13,_source.rule.gdpr,_source.decoder.name,_source.full_log,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.agent.ip,_source.data.extra_data,_source.decoder.parent,_source.data.sca.scan_id,_source.data.sca.check.result,_source.data.sca.check.remediation,_source.data.sca.check.reason,_source.data.sca.check.compliance.cis_csc_v8,_source.data.sca.check.compliance.soc_2,_source.data.sca.check.compliance.pci_dss_4.0,_source.data.sca.check.compliance.nist_sp_800-53,_source.data.sca.check.compliance.pci_dss_3.2.1,_source.data.sca.check.compliance.mitre_tactics,_source.data.sca.check.compliance.mitre_techniques,_source.data.sca.check.compliance.cis,_source.data.sca.check.compliance.cmmc_v2.0,_source.data.sca.check.compliance.iso_27001-2013,_source.data.sca.check.compliance.cis_csc_v7,_source.data.sca.check.compliance.mitre_mitigations,_source.data.sca.check.description,_source.data.sca.check.id,_source.data.sca.check.title,_source.data.sca.check.rationale,_source.data.sca.check.directory,_source.data.sca.check.command,_source.data.sca.type,_source.data.sca.policy,_source.rule.cis_csc_v8,_source.rule.nist_sp_800-53,_source.rule.mitre_tactics,_source.rule.mitre_techniques,_source.rule.cis,_source.rule.iso_27001-2013,_source.rule.mitre_mitigations,_source.rule.soc_2,_source.rule.cis_csc_v7,_source.data.sca.check.references,_source.data.sca.check.compliance.pci_dss_v4.0,_source.data.sca.check.compliance.pci_dss_v3.2.1,_source.data.sca.check.compliance.hipaa,_source.data.sca.check.file,_source.data.sca.check.compliance.nist_800-53,_source.data.sca.check.compliance.tsc,_source.rule.nist_800-53,_source.data.win.eventdata.subjectLogonId,_source.data.win.eventdata.subjectDomainName,_source.data.win.eventdata.targetLinkedLogonId,_source.data.win.eventdata.impersonationLevel,_source.data.win.eventdata.authenticationPackageName,_source.data.win.eventdata.targetLogonId,_source.data.win.eventdata.logonProcessName,_source.data.win.eventdata.logonGuid,_source.data.win.eventdata.targetUserName,_source.data.win.eventdata.keyLength,_source.data.win.eventdata.elevatedToken,_source.data.win.eventdata.subjectUserSid,_source.data.win.eventdata.processId,_source.data.win.eventdata.processName,_source.data.win.eventdata.targetDomainName,_source.data.win.eventdata.targetUserSid,_source.data.win.eventdata.virtualAccount,_source.data.win.eventdata.logonType,_source.data.win.eventdata.subjectUserName,_source.data.win.system.eventID,_source.data.win.system.keywords,_source.data.win.system.providerGuid,_source.data.win.system.level,_source.data.win.system.channel,_source.data.win.system.opcode,_source.data.win.system.message,_source.data.win.system.version,_source.data.win.system.systemTime,_source.data.win.system.eventRecordID,_source.data.win.system.threadID,_source.data.win.system.computer,_source.data.win.system.task,_source.data.win.system.processID,_source.data.win.system.severityValue,_source.data.win.system.providerName,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.data.win.eventdata.displayName,_source.data.win.eventdata.targetSid,_source.data.win.eventdata.privilegeList,_source.data.win.eventdata.addressLength,_source.data.win.eventdata.clientPID,_source.data.win.eventdata.address,_source.data.win.eventdata.queryName,_source.data.win.eventdata.data,_source.data.win.system.eventSourceName,_source.data.win.eventdata.ipAddress,_source.data.win.eventdata.workstationName,_source.data.win.eventdata.subStatus,_source.data.win.eventdata.ipPort,_source.data.win.eventdata.failureReason,_source.data.win.eventdata.status,_source.data.sca.check.compliance.cis_csc,_source.rule.cis_csc,_source.data.sca.check.registry,_source.data.sca.check.compliance.pci_dss,_source.data.sca.check.compliance.nist_800_53,_source.data.sca.check.compliance.gdpr_IV,_source.data.sca.check.compliance.gpg13,_source.rule.gdpr_IV,_source.data.sca.check.compliance.gpg_13,_source.rule.gpg_13,_source.data.sca.score,_source.data.sca.total_checks,_source.data.sca.file,_source.data.sca.policy_id,_source.data.sca.invalid,_source.data.sca.description,_source.data.sca.passed,_source.data.sca.failed,_source.data.win.eventdata.binary,_source.data.win.eventdata.serviceType,_source.data.win.eventdata.accountName,_source.data.win.eventdata.imagePath,_source.data.win.eventdata.startType,_source.data.win.eventdata.serviceName,_source.data.win.eventdata.param3,_source.data.win.eventdata.param4,_source.data.win.eventdata.param1,_source.data.win.eventdata.param2,_source.rule.info
wazuh-alerts-4.x-2025.11.19,SPirnJoB8m9leijeJuo0,1,1,wazuh.manager,0,wazuh.manager,1,FALSE,3,"[""10.6.1""]","[""164.312.b""]","[""CC7.2"",""CC7.3""]",Wazuh server started.,"[""ossec""]",502,"[""AU.6""]","[""10.1""]","[""IV_35.7.d""]",ossec,ossec: Manager started.,log,"Nov 19, 2025 @ 10:10:31.968",wazuh-monitord,1763565031,"Nov 19, 2025 @ 10:10:31.968", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.19,SvirnJoB8m9leijeJurz,1,1,Mr-Chandan-Prasad-indian,1,wazuh.manager,1,FALSE,3,"[""10.6.1""]","[""164.312.b""]","[""CC7.2"",""CC7.3""]",New wazuh agent connected.,"[""ossec""]",501,"[""AU.6""]","[""10.1""]","[""IV_35.7.d""]",ossec,ossec: Agent started: 'Mr-Chandan-Prasad-indian->any'.,log,"Nov 19, 2025 @ 10:10:45.391",wazuh-agent,1763565046,"Nov 19, 2025 @ 10:10:45.391",192.168.56.1,Mr-Chandan-Prasad-indian->any,ossec, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.19,TPirnJoB8m9leijeJ-pr,1,1,wazuh.manager,0,wazuh.manager,2,FALSE,3,"[""2.2""]", ,"[""CC7.1"",""CC7.2""]",CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure mounting of udf filesystems is disabled.,"[""sca""]",19009,"[""CM.1""]", ,"[""IV_35.7.d""]",sca, ,log,"Nov 19, 2025 @ 10:10:49.566",sca,1763565050,"Nov 19, 2025 @ 10:10:49.566", , , ,1574793156,not applicable,"Run the following script to disable the udf filesystem: #!/usr/bin/env bash { l_mname=""udf"" # set module name # Check if the module exists on the system if [ -z ""$(modprobe -n -v ""$l_mname"" 2>&1 | grep -Pi -- ""\h*modprobe:\h+FATAL:\h +Module\h+$l_mname\h+not\h+found\h+in\h+directory"")"" ]; then \# Remediate loadable l_loadable=""$(modprobe -n -v ""$l_mname"")"" [ ""$(wc -l <<< ""$l_loadable"")"" -gt ""1"" ] && l_loadable=""$(grep -P -- ""(^\h*install|$l_mname)"" <<< ""$l_loadable"")"" if ! grep -Pq -- '^\h*install /bin/(true|false)' <<< ""$l_loadable""; then echo -e "" - setting module: ""$l_mname"" to be not loadable"" echo -e ""install $l_mname /bin/false"" >> /etc/modprobe.d/""$l_mname"".conf fi \# Remediate loaded if lsmod | grep ""$l_mname"" > /dev/null 2>&1; then echo -e "" - unloading module ""$l_mname"""" modprobe -r ""$l_mname"" fi \# Remediate deny list if ! modprobe --showconfig | grep -Pq -- ""^\h*blacklist\h+$l_mname""; then echo -e "" - deny listing ""$l_mname"""" echo -e ""blacklist $l_mname"" >> /etc/modprobe.d/""$l_mname"".conf fi else echo -e "" - Nothing to remediate\n - Module ""$l_mname"" doesn't exist on the system"" fi }.",Invalid path or wrong permissions to run command 'modprobe -n -v udf',4.8,"CC6.3,CC6.6","1.2.5,2.2.4,6.4.1",CM-7,"1.1.6,1.2.1,2.2.2,2.2.5",TA0005,T1005,1.1.1.2,"CM.L2-3.4.7,CM.L2-3.4.8,SC.L2-3.13.6",A.13.1.3,9.2,M1050,The udf filesystem type is the universal disk format used to implement ISO/IEC 13346 and ECMA-167 specifications. This is an open vendor filesystem type for data storage on a broad range of media. This filesystem type is necessary to support writing DVDs and newer optical disc formats.,31001,Ensure mounting of udf filesystems is disabled.,"Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.","[""/etc/modprobe.d""]","[""modprobe -n -v udf"",""lsmod""]",check,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.,"[""4.8""]","[""CM-7""]","[""TA0005""]","[""T1005""]","[""1.1.1.2""]","[""A.13.1.3""]","[""M1050""]","[""CC6.3"",""CC6.6""]","[""9.2""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.19,TfirnJoB8m9leijeJ-pr,1,1,wazuh.manager,0,wazuh.manager,3,FALSE,3,"[""2.2""]", ,"[""CC7.1"",""CC7.2""]",CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure /tmp is a separate partition.,"[""sca""]",19009,"[""CM.1""]", ,"[""IV_35.7.d""]",sca, ,log,"Nov 19, 2025 @ 10:10:49.574",sca,1763565049,"Nov 19, 2025 @ 10:10:49.574", , , ,1574793156,not applicable,"First ensure that systemd is correctly configured to ensure that /tmp will be mounted at boot time. # systemctl unmask tmp.mount For specific configuration requirements of the /tmp mount for your environment, modify /etc/fstab. Example of using tmpfs with specific mount options: tmpfs /tmp tmpfs defaults,rw,nosuid,nodev,noexec,relatime,size=2G 0 0 Example of using a volume or disk with specific mount options. The source location of the volume or disk will vary depending on your environment. <device> /tmp <fstype> defaults,nodev,nosuid,noexec 0 0.",Invalid path or wrong permissions to run command 'findmnt --kernel /tmp',4.8,"CC6.3,CC6.6", ,CM-7, ,TA0005,"T1499,T1499.001",1.1.2.1,"CM.L2-3.4.7,CM.L2-3.4.8,SC.L2-3.13.6",A.13.1.3,9.2,M1022,The /tmp directory is a world-writable directory used for temporary storage by all users and some applications.,31002,Ensure /tmp is a separate partition.,"Making /tmp its own file system allows an administrator to set additional mount options such as the noexec option on the mount, making /tmp useless for an attacker to install executable code. It would also prevent an attacker from establishing a hard link to a system setuid program and wait for it to be updated. Once the program was updated, the hard link would be broken and the attacker would have his own copy of the program. If the program happened to have a security vulnerability, the attacker could continue to exploit the known flaw. Since the /tmp directory is intended to be world-writable, there is a risk of resource exhaustion if it is not bound to a separate partition. This can be accomplished by either mounting tmpfs to /tmp, or creating a separate partition for /tmp.", ,"[""findmnt --kernel /tmp"",""systemctl is-enabled tmp.mount""]",check,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.,"[""4.8""]","[""CM-7""]","[""TA0005""]","[""T1499"",""T1499.001""]","[""1.1.2.1""]","[""A.13.1.3""]","[""M1022""]","[""CC6.3"",""CC6.6""]","[""9.2""]","https://www.freedesktop.org/wiki/Software/systemd/APIFileSystems/,https://www.freedesktop.org/software/systemd/man/systemd-fstab-generator.html","1.2.5,2.2.4,6.4.1","1.1.6,1.2.1,2.2.2,2.2.5", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.19,T_irnJoB8m9leijeJ-pr,1,1,wazuh.manager,0,wazuh.manager,5,FALSE,3,"[""2.2""]","[""164.308(a)(3)(i)"",""164.308(a)(3)(ii)(A)"",""164.312(a)(1)""]","[""CC7.1"",""CC7.2""]",CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure noexec option set on /tmp partition.,"[""sca""]",19009,"[""CM.1""]", ,"[""IV_35.7.d""]",sca, ,log,"Nov 19, 2025 @ 10:10:49.610",sca,1763565049,"Nov 19, 2025 @ 10:10:49.610", , , ,1574793156,not applicable,"Edit the /etc/fstab file and add noexec to the fourth field (mounting options) for the /tmp partition. Example: <device> /tmp <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /tmp with the configured options: # mount -o remount /tmp.",Invalid path or wrong permissions to run command 'findmnt --kernel /tmp',3.3,"CC5.2,CC6.1", ,"AC-3,MP-2", ,TA0005,"T1204,T1204.002",1.1.2.3,"AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.3,AC.L2-3.1.5,MP.L2-3.8.2",A.9.1.1,14.6,M1022,The noexec mount option specifies that the filesystem cannot contain executable binaries.,31004,Ensure noexec option set on /tmp partition.,"Since the /tmp filesystem is only intended for temporary file storage, set this option to ensure that users cannot run executable binaries from /tmp.", ,"[""findmnt --kernel /tmp""]",check,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.,"[""3.3""]","[""AC-3"",""MP-2""]","[""TA0005""]","[""T1204"",""T1204.002""]","[""1.1.2.3""]","[""A.9.1.1""]","[""M1022""]","[""CC5.2"",""CC6.1""]","[""14.6""]", ,"1.3.1,7.1","7.1,7.1.1,7.1.2,7.1.3","164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.19,UfirnJoB8m9leijeJ-pr,1,1,wazuh.manager,0,wazuh.manager,7,FALSE,3,"[""2.2""]","[""164.308(a)(3)(i)"",""164.308(a)(3)(ii)(A)"",""164.312(a)(1)""]","[""CC7.1"",""CC7.2""]",CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure separate partition exists for /var.,"[""sca""]",19009,"[""CM.1""]", ,"[""IV_35.7.d""]",sca, ,log,"Nov 19, 2025 @ 10:10:49.645",sca,1763565049,"Nov 19, 2025 @ 10:10:49.645", , , ,1574793156,not applicable,"For new installations, during installation create a custom partition setup and specify a separate partition for /var. For systems that were previously installed, create a new partition and configure /etc/fstab as appropriate.",Invalid path or wrong permissions to run command 'findmnt --kernel /var',3.3,"CC5.2,CC6.1", ,"AC-5,AC-6", ,TA0006,"T1499,T1499.001",1.1.3.1,"AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.3,AC.L2-3.1.5,MP.L2-3.8.2",A.9.1.1,14.6, ,The /var directory is used by daemons and other system services to temporarily store dynamic data. Some directories created by these processes may be world-writable.,31006,Ensure separate partition exists for /var.,"The reasoning for mounting /var on a separate partition is as follows. Protection from resource exhaustion The default installation only creates a single / partition. Since the /var directory may contain world-writable files and directories, there is a risk of resource exhaustion. It will essentially have the whole disk available to fill up and impact the system as a whole. In addition, other operations on the system could fill up the disk unrelated to /var and cause unintended behavior across the system as the disk is full. See man auditd.conf for details. Fine grained control over the mount Configuring /var as its own file system allows an administrator to set additional mount options such as noexec/nosuid/nodev. These options limits an attackers ability to create exploits on the system. Other options allow for specific behavior. See man mount for exact details regarding filesystem-independent and filesystem-specific options. Protection from exploitation An example of exploiting /var may be an attacker establishing a hard-link to a system setuid program and wait for it to be updated. Once the program was updated, the hard-link would be broken and the attacker would have his own copy of the program. If the program happened to have a security vulnerability, the attacker could continue to exploit the known flaw.", ,"[""findmnt --kernel /var""]",check,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.,"[""3.3""]","[""AC-5"",""AC-6""]","[""TA0006""]","[""T1499"",""T1499.001""]","[""1.1.3.1""]","[""A.9.1.1""]", ,"[""CC5.2"",""CC6.1""]","[""14.6""]",http://tldp.org/HOWTO/LVM-HOWTO/,"1.3.1,7.1","7.1,7.1.1,7.1.2,7.1.3","164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.19,VfirnJoB8m9leijeJ-pr,1,1,wazuh.manager,0,wazuh.manager,12,FALSE,3,"[""2.2""]","[""164.308(a)(3)(i)"",""164.308(a)(3)(ii)(A)"",""164.312(a)(1)""]","[""CC7.1"",""CC7.2""]",CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure noexec option set on /var/tmp partition.,"[""sca""]",19009,"[""CM.1""]", ,"[""IV_35.7.d""]",sca, ,log,"Nov 19, 2025 @ 10:10:49.697",sca,1763565049,"Nov 19, 2025 @ 10:10:49.697", , , ,1574793156,not applicable,"Edit the /etc/fstab file and add noexec to the fourth field (mounting options) for the /var/tmp partition. Example: <device> /var/tmp <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /var/tmp with the configured options: # mount -o remount /var/tmp.",Invalid path or wrong permissions to run command 'findmnt --kernel /var/tmp',3.3,"CC5.2,CC6.1", ,"AC-3,MP-2", ,TA0005,"T1204,T1204.002",1.1.4.2,"AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.3,AC.L2-3.1.5,MP.L2-3.8.2",A.9.1.1,14.6,M1022,The noexec mount option specifies that the filesystem cannot contain executable binaries.,31010,Ensure noexec option set on /var/tmp partition.,"Since the /var/tmp filesystem is only intended for temporary file storage, set this option to ensure that users cannot run executable binaries from /var/tmp.", ,"[""findmnt --kernel /var/tmp""]",check,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.,"[""3.3""]","[""AC-3"",""MP-2""]","[""TA0005""]","[""T1204"",""T1204.002""]","[""1.1.4.2""]","[""A.9.1.1""]","[""M1022""]","[""CC5.2"",""CC6.1""]","[""14.6""]", ,"1.3.1,7.1","7.1,7.1.1,7.1.2,7.1.3","164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.19,WPirnJoB8m9leijeJ-pr,1,1,wazuh.manager,0,wazuh.manager,11,FALSE,3,"[""2.2""]","[""164.308(a)(3)(i)"",""164.308(a)(3)(ii)(A)"",""164.312(a)(1)""]","[""CC7.1"",""CC7.2""]",CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure nodev option set on /var/tmp partition.,"[""sca""]",19009,"[""CM.1""]", ,"[""IV_35.7.d""]",sca, ,log,"Nov 19, 2025 @ 10:10:49.765",sca,1763565050,"Nov 19, 2025 @ 10:10:49.765", , , ,1574793156,not applicable,"Edit the /etc/fstab file and add nodev to the fourth field (mounting options) for the /var/tmp partition. Example: <device> /var/tmp <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /var/tmp with the configured options: # mount -o remount /var/tmp.",Invalid path or wrong permissions to run command 'findmnt --kernel /var/tmp',3.3,"CC5.2,CC6.1", ,"AC-3,MP-2", ,TA0005,"T1499,T1499.001",1.1.4.4,"AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.3,AC.L2-3.1.5,MP.L2-3.8.2",A.9.1.1,14.6,M1022,The nodev mount option specifies that the filesystem cannot contain special devices.,31012,Ensure nodev option set on /var/tmp partition.,"Since the /var/tmp filesystem is not intended to support devices, set this option to ensure that users cannot create a block or character special devices in /var/tmp.", ,"[""findmnt --kernel /var/tmp""]",check,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.,"[""3.3""]","[""AC-3"",""MP-2""]","[""TA0005""]","[""T1499"",""T1499.001""]","[""1.1.4.4""]","[""A.9.1.1""]","[""M1022""]","[""CC5.2"",""CC6.1""]","[""14.6""]", ,"1.3.1,7.1","7.1,7.1.1,7.1.2,7.1.3","164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.19,WfirnJoB8m9leijeJ-pr,1,1,wazuh.manager,0,wazuh.manager,15,FALSE,3,"[""2.2""]","[""164.308(a)(3)(i)"",""164.308(a)(3)(ii)(A)"",""164.312(a)(1)""]","[""CC7.1"",""CC7.2""]",CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure nodev option set on /var/log partition.,"[""sca""]",19009,"[""CM.1""]", ,"[""IV_35.7.d""]",sca, ,log,"Nov 19, 2025 @ 10:10:49.780",sca,1763565050,"Nov 19, 2025 @ 10:10:49.780", , , ,1574793156,not applicable,"Edit the /etc/fstab file and add nodev to the fourth field (mounting options) for the /var/log partition. Example: <device> /var/log <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /var/log with the configured options: # mount -o remount /var/log.",Invalid path or wrong permissions to run command 'findmnt --kernel /var/log',3.3,"CC5.2,CC6.1", ,"AC-3,MP-2", ,TA0005,T1200,1.1.5.2,"AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.3,AC.L2-3.1.5,MP.L2-3.8.2",A.9.1.1,14.6,M1038,The nodev mount option specifies that the filesystem cannot contain special devices.,31014,Ensure nodev option set on /var/log partition.,"Since the /var/log filesystem is not intended to support devices, set this option to ensure that users cannot create a block or character special devices in /var/log.", ,"[""findmnt --kernel /var/log""]",check,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.,"[""3.3""]","[""AC-3"",""MP-2""]","[""TA0005""]","[""T1200""]","[""1.1.5.2""]","[""A.9.1.1""]","[""M1038""]","[""CC5.2"",""CC6.1""]","[""14.6""]", ,"1.3.1,7.1","7.1,7.1.1,7.1.2,7.1.3","164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.11.19,WvirnJoB8m9leijeJ-pr,1,1,wazuh.manager,0,wazuh.manager,16,FALSE,3,"[""2.2""]","[""164.308(a)(3)(i)"",""164.308(a)(3)(ii)(A)"",""164.312(a)(1)""]","[""CC7.1"",""CC7.2""]",CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure noexec option set on /var/log partition.,"[""sca""]",19009,"[""CM.1""]", ,"[""IV_35.7.d""]",sca, ,log,"Nov 19, 2025 @ 10:10:49.821",sca,1763565050,"Nov 19, 2025 @ 10:10:49.821", , , ,1574793156,not applicable,"Edit the /etc/fstab file and add noexec to the fourth field (mounting options) for the /var/log partition. Example: <device> /var/log <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /var/log with the configured options: # mount -o remount /var/log.",Invalid path or wrong permissions to run command 'findmnt --kernel /var/log',3.3,"CC5.2,CC6.1", ,"AC-3,MP-2", ,TA0005,"T1204,T1204.002",1.1.5.3,"AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.3,AC.L2-3.1.5,MP.L2-3.8.2",A.9.1.1,14.6,M1022,The noexec mount option specifies that the filesystem cannot contain executable binaries.,31015,Ensure noexec option set on /var/log partition.,"Since the /var/log filesystem is only intended for log files, set this option to ensure that users cannot run executable binaries from /var/log.", ,"[""findmnt --kernel /var/log""]",check,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.,"[""3.3""]","[""AC-3"",""MP-2""]","[""TA0005""]","[""T1204"",""T1204.002""]","[""1.1.5.3""]","[""A.9.1.1""]","[""M1022""]","[""CC5.2"",""CC6.1""]","[""14.6""]", ,"1.3.1,7.1","7.1,7.1.1,7.1.2,7.1.3","164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
