"LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"::","64067","::","0","Bound"
"::","62246","::","0","Bound"
"::","60564","::","0","Bound"
"::","60429","::","0","Bound"
"::","60428","::","0","Bound"
"::","60427","::","0","Bound"
"::","60425","::","0","Bound"
"::","60424","::","0","Bound"
"::","60423","::","0","Bound"
"::","60421","::","0","Bound"
"::","59474","::","0","Bound"
"::","58683","::","0","Bound"
"::","58520","::","0","Bound"
"::","57960","::","0","Bound"
"::","57957","::","0","Bound"
"::","57510","::","0","Bound"
"::","57214","::","0","Bound"
"::","56043","::","0","Bound"
"::","55070","::","0","Bound"
"::","51737","::","0","Bound"
"::","51203","::","0","Bound"
"::","50923","::","0","Bound"
"::","65447","::","0","Listen"
"2409:40f2:2168:9602:355a:f6d5:729:2f3","64067","2606:4700:9c62:7dba:1edd:b0b:5ff2:75c4","443","Established"
"2409:40f2:2168:9602:355a:f6d5:729:2f3","60564","64:ff9b::36c:233b","443","Established"
"2409:40f2:2168:9602:355a:f6d5:729:2f3","60429","2405:200:1630:b75:face:b00c:3333:7020","443","CloseWait"
"2409:40f2:2168:9602:355a:f6d5:729:2f3","60428","2405:200:1630:ff44:face:b00c:3333:7020","443","CloseWait"
"2409:40f2:2168:9602:355a:f6d5:729:2f3","60427","2405:200:1630:ff69:face:b00c:3333:7020","443","CloseWait"
"2409:40f2:2168:9602:355a:f6d5:729:2f3","60425","2a03:2880:f369:120:face:b00c:0:167","443","CloseWait"
"2409:40f2:2168:9602:355a:f6d5:729:2f3","60424","2405:200:1608:2885:face:b00c:3333:7020","443","CloseWait"
"2409:40f2:2168:9602:355a:f6d5:729:2f3","60423","2405:200:1630:bc9:face:b00c:3333:7020","443","CloseWait"
"2409:40f2:2168:9602:355a:f6d5:729:2f3","60421","2405:200:1630:ff98:face:b00c:3333:7020","443","CloseWait"
"2409:40f2:2168:9602:355a:f6d5:729:2f3","60363","64:ff9b::14bd:ad0d","443","TimeWait"
"2409:40f2:2168:9602:355a:f6d5:729:2f3","59474","2603:1040:a06:6::2","443","Established"
"2409:40f2:2168:9602:355a:f6d5:729:2f3","58683","64:ff9b::3652:84f7","443","Established"
"2409:40f2:2168:9602:355a:f6d5:729:2f3","58534","2606:4700:9c60:1827:e9fe:b0b:7d02:3689","443","TimeWait"
"2409:40f2:2168:9602:355a:f6d5:729:2f3","58520","64:ff9b::287e:1220","443","Established"
"::1","57998","::1","8000","TimeWait"
"2409:40f2:2168:9602:355a:f6d5:729:2f3","57960","64:ff9b::3468:8c35","443","Established"
