"Name","Id","Memory(MB)"
"AggregatorHost","7040","5"
"AppActions","20472","7"
"ApplicationFrameHost","8720","4"
"audiodg","552","33"
"backgroundTaskHost","824","0"
"backgroundTaskHost","16356","18"
"backgroundTaskHost","17148","0"
"chrome","3456","7"
"chrome","5336","309"
"chrome","6308","107"
"chrome","7572","187"
"chrome","7604","7"
"chrome","8088","53"
"chrome","8660","41"
"chrome","9008","316"
"chrome","12624","6"
"chrome","14908","93"
"chrome","15656","31"
"chrome","17336","655"
"chrome","17752","12"
"chrome","19360","1"
"chrome","19452","28"
"chrome","19472","355"
"chrome","21688","38"
"cmd","20772","0"
"conhost","9816","22"
"conhost","14436","5"
"Copilot","12668","24"
"CrossDeviceResume","17500","4"
"CrossDeviceService","15196","17"
"csrss","1224","2"
"csrss","17768","2"
"ctfmon","17156","49"
"Cursor","8256","35"
"Cursor","9348","2"
"Cursor","11340","9"
"Cursor","12488","50"
"Cursor","13892","17"
"Cursor","17880","25"
"Cursor","18628","195"
"Cursor","22120","128"
"dasHost","3000","3"
"dllhost","5352","15"
"dllhost","11268","7"
"dllhost","20508","2"
"dllhost","22004","6"
"dllhost","22628","9"
"dwm","11728","109"
"esif_uf","7788","0"
"explorer","6688","301"
"FileCoAuth","11776","10"
"FileSyncHelper","2728","9"
"FnHotkeyCapsLKNumLK","10324","2"
"FnHotkeyUtility","15716","5"
"fontdrvhost","468","2"
"fontdrvhost","1684","0"
"Idle","0","0"
"igfxCUIServiceN","3756","2"
"igfxEMN","6316","3"
"IntelAudioService","5000","5"
"IntelCpHDCPSvc","2412","0"
"jhi_service","7736","0"
"Lenovo.Modern.ImController","4992","16"
"LenovoUtilityService","18148","0"
"LMS","5136","2"
"LsaIso","1432","0"
"lsass","1440","15"
"M365Copilot","18444","24"
"Memory Compression","3548","149"
"MpDefenderCoreService","9528","12"
"msedge","1932","36"
"msedge","4384","7"
"msedge","4920","17"
"msedge","8948","7"
"msedge","14816","2"
"msedge","16088","2"
"msedge","22248","1"
"msedgewebview2","240","14"
"msedgewebview2","1964","1"
"msedgewebview2","6964","0"
"msedgewebview2","9860","5"
"msedgewebview2","10592","12"
"msedgewebview2","10728","95"
"msedgewebview2","11004","1"
"msedgewebview2","11292","4"
"msedgewebview2","11472","22"
"msedgewebview2","14920","1"
"msedgewebview2","16120","0"
"msedgewebview2","16288","5"
"msedgewebview2","16576","8"
"msedgewebview2","17824","0"
"msedgewebview2","17892","45"
"msedgewebview2","20692","10"
"msedgewebview2","20700","48"
"msedgewebview2","21404","1"
"msedgewebview2","22292","0"
"MsMpEng","14808","242"
"MSPCManagerService","7096","16"
"NahimicAPO4Volume","7012","1"
"NahimicService","5008","7"
"NgcIso","7932","0"
"NhNotifSys","17444","3"
"NisSrv","22872","5"
"NVDisplay.Container","2956","15"
"NVDisplay.Container","21132","20"
"OfficeClickToRun","1492","14"
"OneApp.IGCC.WinService","4960","6"
"OneDrive","13888","61"
"PhoneExperienceHost","21356","50"
"powershell","20112","130"
"PresentationFontCache","9424","1"
"Registry","280","32"
"RtkAudUService64","5040","5"
"RtkAudUService64","22420","6"
"RuntimeBroker","8176","2"
"RuntimeBroker","8676","4"
"RuntimeBroker","11756","10"
"RuntimeBroker","11992","32"
"RuntimeBroker","18728","4"
"RuntimeBroker","18808","2"
"RuntimeBroker","20632","2"
"RuntimeBroker","23212","2"
"SearchHost","15936","84"
"SearchIndexer","13324","24"
"Secure System","236","63"
"SecurityHealthService","13804","8"
"SecurityHealthSystray","6736","2"
"services","1412","8"
"ShellExperienceHost","22296","0"
"ShellHost","18048","6"
"sihost","19804","18"
"Slack","476","70"
"Slack","5364","58"
"Slack","11760","199"
"Slack","12804","20"
"Slack","14320","4"
"Slack","15556","3"
"Slack","17560","1"
"smartscreen","14684","12"
"smss","852","0"
"spoolsv","16948","2"
"StartMenuExperienceHost","5492","76"
"svchost","820","4"
"svchost","1004","14"
"svchost","1012","2"
"svchost","1576","9"
"svchost","1652","30"
"svchost","1816","18"
"svchost","1868","4"
"svchost","2040","1"
"svchost","2056","10"
"svchost","2168","2"
"svchost","2176","2"
"svchost","2264","6"
"svchost","2288","5"
"svchost","2328","4"
"svchost","2428","1"
"svchost","2468","1"
"svchost","2528","2"
"svchost","2540","14"
"svchost","2556","8"
"svchost","2580","6"
"svchost","2656","2"
"svchost","2744","16"
"svchost","2840","7"
"svchost","2884","3"
"svchost","3088","7"
"svchost","3172","15"
"svchost","3292","5"
"svchost","3344","1"
"svchost","3356","6"
"svchost","3364","5"
"svchost","3588","2"
"svchost","3660","9"
"svchost","3668","4"
"svchost","3716","3"
"svchost","3828","2"
"svchost","3836","3"
"svchost","3968","10"
"svchost","4008","6"
"svchost","4020","3"
"svchost","4084","6"
"svchost","4092","4"
"svchost","4100","28"
"svchost","4224","11"
"svchost","4256","2"
"svchost","4348","4"
"svchost","4400","4"
"svchost","4604","17"
"svchost","4708","15"
"svchost","4716","3"
"svchost","4936","28"
"svchost","4944","2"
"svchost","4952","21"
"svchost","4968","6"
"svchost","4976","14"
"svchost","4984","0"
"svchost","5016","2"
"svchost","5892","4"
"svchost","6024","2"
"svchost","6428","2"
"svchost","6856","7"
"svchost","6988","16"
"svchost","6996","17"
"svchost","7496","25"
"svchost","7856","1"
"svchost","8744","2"
"svchost","8832","5"
"svchost","8976","12"
"svchost","9032","8"
"svchost","9068","30"
"svchost","9404","3"
"svchost","9596","8"
"svchost","9852","18"
"svchost","10028","12"
"svchost","11628","5"
"svchost","12072","2"
"svchost","12144","3"
"svchost","13364","8"
"svchost","15352","35"
"svchost","15420","19"
"svchost","15840","2"
"svchost","15916","6"
"svchost","16268","1"
"svchost","16812","5"
"svchost","18004","1"
"svchost","18168","16"
"svchost","18424","6"
"svchost","18908","17"
"svchost","19148","2"
"svchost","19264","4"
"svchost","20356","10"
"svchost","20424","2"
"svchost","20940","2"
"svchost","21264","1"
"svchost","21400","1"
"Sysmon64","17088","11"
"System","4","1"
"SystemSettings","20780","0"
"taskhostw","4124","6"
"taskhostw","20808","6"
"TbtP2pShortcutService","5048","0"
"TextInputHost","21284","154"
"unsecapp","5780","2"
"unsecapp","6812","2"
"unsecapp","11720","3"
"UserOOBEBroker","4668","2"
"VBoxNetDHCP","4496","0"
"VBoxNetDHCP","20400","0"
"VBoxNetDHCP","20484","2"
"VBoxSDS","16876","2"
"VBoxSVC","9416","7"
"Velociraptor","16712","57"
"velociraptor-v0.75.5-windows-amd64","23208","26"
"Video.UI","14284","0"
"VirtualBox","22052","14"
"VirtualBoxVM","3904","0"
"VirtualBoxVM","4168","0"
"VirtualBoxVM","22572","-497"
"wazuh-agent","15380","8"
"WhatsApp","8808","5"
"Widgets","7224","41"
"WidgetService","11180","3"
"wininit","1336","0"
"winlogon","15892","2"
"wlanext","6168","1"
"WmiPrvSE","5384","3"
"WmiPrvSE","19504","13"
"WMIRegistrationService","5056","0"
"WUDFHost","1700","3"
"WUDFHost","2200","0"
